Serial Number:,,X001, pH Calibration (LOW):,,745, pH Calibration (HIGH):,,245,
77,2015-06-05T06:25:50+0100,39.1,320,6.55,392,,,,
78,2015-06-05T06:40:50+0100,39.4,318,6.56,392,,,,
79,2015-06-05T06:55:50+0100,39.1,313,6.59,392,,,,
80,2015-06-05T07:10:50+0100,39.1,309,6.62,392,,,,
81,2015-06-05T07:25:50+0100,39.4,316,6.57,392,,,,
82,2015-06-05T07:40:50+0100,39.4,319,6.56,392,,,,
83,2015-06-05T07:55:50+0100,39.4,311,6.6,392,,,,
84,2015-06-05T08:10:50+0100,39.4,316,6.57,392,,,,
85,2015-06-05T08:25:50+0100,39.4,306,6.63,392,,,,
86,2015-06-05T08:40:50+0100,39.1,313,6.59,392,,,,
87,2015-06-05T08:55:50+0100,39.1,324,6.53,392,,,,
88,2015-06-05T09:10:50+0100,39.1,309,6.62,392,,,,
89,2015-06-05T09:25:50+0100,39.4,311,6.6,392,,,,
90,2015-06-05T09:40:50+0100,39.1,313,6.59,392,,,,
91,2015-06-05T09:55:50+0100,39.4,319,6.56,392,,,,
92,2015-06-05T10:10:50+0100,39.4,307,6.63,392,,,,
93,2015-06-05T10:25:50+0100,39.4,306,6.63,392,,,,
94,2015-06-05T10:40:50+0100,39.4,305,6.64,392,,,,
95,2015-06-05T10:55:50+0100,39.4,314,6.59,392,,,,
96,2015-06-05T11:10:50+0100,39.4,308,6.62,392,,,,
97,2015-06-05T11:25:50+0100,39.4,307,6.63,392,,,,
98,2015-06-05T11:40:50+0100,37.3,317,6.57,392,,,,
99,2015-06-05T11:55:50+0100,38.3,308,6.62,392,,,,
100,2015-06-05T12:10:50+0100,38.8,303,6.65,392,,,,
101,2015-06-05T12:25:50+0100,39.1,286,6.75,392,,,,
102,2015-06-05T12:40:50+0100,39.1,278,6.8,392,,,,
103,2015-06-05T12:55:50+0100,39.1,272,6.84,392,,,,
104,2015-06-05T13:10:50+0100,39.4,275,6.82,392,,,,
105,2015-06-05T13:25:50+0100,39.4,295,6.7,392,,,,
106,2015-06-05T13:40:50+0100,39.4,301,6.66,392,,,,
107,2015-06-05T13:55:50+0100,39.4,293,6.71,392,,,,
108,2015-06-05T14:10:50+0100,39.4,280,6.79,392,,,,
109,2015-06-05T14:25:50+0100,39.4,292,6.72,392,,,,
110,2015-06-05T14:40:50+0100,39.4,320,6.55,392,,,,
111,2015-06-05T14:55:50+0100,39.4,322,6.54,392,,,,
112,2015-06-05T15:10:50+0100,39.4,318,6.56,392,,,,
113,2015-06-05T15:25:50+0100,39.4,317,6.57,392,,,,
114,2015-06-05T15:40:50+0100,39.4,315,6.58,392,,,,
115,2015-06-05T15:55:50+0100,37.3,313,6.59,392,,,,
116,2015-06-05T16:10:50+0100,38.6,316,6.57,392,,,,
117,2015-06-05T16:25:50+0100,39.1,317,6.57,392,,,,
118,2015-06-05T16:40:50+0100,39.1,317,6.57,392,,,,
119,2015-06-05T16:55:50+0100,39.1,314,6.59,392,,,,
120,2015-06-05T17:10:50+0100,39.1,306,6.63,392,,,,
121,2015-06-05T17:25:50+0100,39.4,297,6.69,392,,,,
122,2015-06-05T17:40:50+0100,39.4,312,6.6,392,,,,
123,2015-06-05T17:55:50+0100,38.1,330,6.49,392,,,,
124,2015-06-05T18:10:50+0100,38.8,321,6.54,392,,,,
125,2015-06-05T18:25:50+0100,38.8,313,6.59,392,,,,
126,2015-06-05T18:40:50+0100,39.1,320,6.55,392,,,,
127,2015-06-05T18:55:50+0100,39.1,306,6.63,392,,,,
128,2015-06-05T19:10:50+0100,39.4,315,6.58,392,,,,
129,2015-06-05T19:25:50+0100,39.4,315,6.58,392,,,,
130,2015-06-05T19:40:50+0100,39.4,323,6.53,392,,,,
131,2015-06-05T19:55:50+0100,39.4,327,6.51,392,,,,
132,2015-06-05T20:10:50+0100,39.4,317,6.57,392,,,,
133,2015-06-05T20:25:50+0100,36.3,318,6.56,392,,,,
134,2015-06-05T20:40:50+0100,38.1,319,6.56,392,,,,
135,2015-06-05T20:55:50+0100,38.6,323,6.53,392,,,,
136,2015-06-05T21:10:50+0100,38.8,314,6.59,392,,,,
137,2015-06-05T21:25:50+0100,37,307,6.63,392,,,,
138,2015-06-05T21:40:50+0100,38.3,323,6.53,392,,,,
139,2015-06-05T21:55:50+0100,38.8,327,6.51,392,,,,
140,2015-06-05T22:10:50+0100,38.8,322,6.54,392,,,,
141,2015-06-05T22:25:50+0100,39.1,318,6.56,392,,,,
142,2015-06-05T22:40:50+0100,39.1,317,6.57,392,,,,
143,2015-06-05T22:55:50+0100,39.1,313,6.59,392,,,,
144,2015-06-05T23:10:50+0100,39.4,318,6.56,392,,,,
145,2015-06-05T23:25:50+0100,39.4,322,6.54,392,,,,
146,2015-06-05T23:40:50+0100,39.4,326,6.51,392,,,,
147,2015-06-05T23:55:50+0100,39.1,317,6.57,392,,,,
148,2015-06-06T00:10:50+0100,39.4,294,6.71,392,,,,
149,2015-06-06T00:25:50+0100,39.4,292,6.72,392,,,,
150,2015-06-06T00:40:50+0100,39.4,295,6.7,392,,,,
151,2015-06-06T00:55:50+0100,39.4,289,6.74,392,,,,
152,2015-06-06T01:10:50+0100,39.4,298,6.68,392,,,,
153,2015-06-06T01:25:50+0100,39.4,292,6.72,392,,,,
154,2015-06-06T01:40:50+0100,39.4,291,6.72,392,,,,
155,2015-06-06T01:55:50+0100,39.4,288,6.74,392,,,,
156,2015-06-06T02:10:50+0100,39.7,293,6.71,392,,,,
157,2015-06-06T02:25:50+0100,39.7,300,6.67,392,,,,
158,2015-06-06T02:40:50+0100,39.7,308,6.62,392,,,,
159,2015-06-06T02:55:50+0100,39.7,315,6.58,392,,,,
160,2015-06-06T03:10:50+0100,39.7,321,6.54,392,,,,
161,2015-06-06T03:25:50+0100,39.7,328,6.5,392,,,,
162,2015-06-06T03:40:50+0100,39.7,330,6.49,392,,,,
163,2015-06-06T03:55:50+0100,39.7,332,6.48,392,,,,
164,2015-06-06T04:10:50+0100,39.7,335,6.46,392,,,,
165,2015-06-06T04:25:50+0100,39.4,321,6.54,392,,,,
166,2015-06-06T04:40:50+0100,39.4,329,6.5,392,,,,
167,2015-06-06T04:55:50+0100,39.4,331,6.48,392,,,,
168,2015-06-06T05:10:50+0100,39.4,322,6.54,392,,,,
169,2015-06-06T05:25:50+0100,39.4,310,6.61,392,,,,
170,2015-06-06T05:40:50+0100,39.7,311,6.6,392,,,,
171,2015-06-06T05:55:50+0100,39.4,319,6.56,392,,,,
172,2015-06-06T06:10:50+0100,39.4,305,6.64,392,,,,
173,2015-06-06T06:25:50+0100,39.4,304,6.65,392,,,,
174,2015-06-06T06:40:50+0100,39.7,297,6.69,392,,,,
175,2015-06-06T06:55:50+0100,39.4,301,6.66,392,,,,
176,2015-06-06T07:10:50+0100,39.4,307,6.63,392,,,,
177,2015-06-06T07:25:50+0100,39.4,316,6.57,392,,,,
178,2015-06-06T07:40:50+0100,39.7,319,6.56,392,,,,
179,2015-06-06T07:55:50+0100,39.7,325,6.52,392,,,,
180,2015-06-06T08:10:50+0100,39.4,326,6.51,392,,,,
181,2015-06-06T08:25:50+0100,39.4,334,6.47,392,,,,
182,2015-06-06T08:40:50+0100,39.4,334,6.47,392,,,,
183,2015-06-06T08:55:50+0100,39.4,327,6.51,392,,,,
184,2015-06-06T09:10:50+0100,39.4,327,6.51,392,,,,
185,2015-06-06T09:25:50+0100,39.4,328,6.5,392,,,,
186,2015-06-06T09:40:50+0100,39.4,328,6.5,392,,,,
187,2015-06-06T09:55:50+0100,39.4,313,6.59,392,,,,
188,2015-06-06T10:10:50+0100,39.4,316,6.57,392,,,,
189,2015-06-06T10:25:50+0100,39.4,307,6.63,392,,,,
190,2015-06-06T10:40:50+0100,39.4,309,6.62,392,,,,
191,2015-06-06T10:55:50+0100,39.4,315,6.58,392,,,,
192,2015-06-06T11:10:50+0100,39.4,313,6.59,392,,,,
193,2015-06-06T11:25:50+0100,39.4,313,6.59,392,,,,
194,2015-06-06T11:40:50+0100,39.4,309,6.62,392,,,,
195,2015-06-06T11:55:50+0100,39.4,313,6.59,392,,,,
196,2015-06-06T12:10:50+0100,37.8,317,6.57,392,,,,
197,2015-06-06T12:25:50+0100,38.6,302,6.66,392,,,,
198,2015-06-06T12:40:50+0100,38.8,310,6.61,392,,,,
199,2015-06-06T12:55:50+0100,39.1,323,6.53,392,,,,
200,2015-06-06T13:10:50+0100,39.1,310,6.61,392,,,,
201,2015-06-06T13:25:50+0100,39.1,306,6.63,392,,,,
202,2015-06-06T13:40:50+0100,39.1,299,6.68,392,,,,
203,2015-06-06T13:55:50+0100,39.4,301,6.66,392,,,,
204,2015-06-06T14:10:50+0100,39.4,301,6.66,392,,,,
205,2015-06-06T14:25:50+0100,39.4,302,6.66,392,,,,
206,2015-06-06T14:40:50+0100,39.4,294,6.71,392,,,,
207,2015-06-06T14:55:50+0100,39.4,288,6.74,392,,,,
208,2015-06-06T15:10:50+0100,39.4,290,6.73,392,,,,
209,2015-06-06T15:25:50+0100,39.4,303,6.65,392,,,,
210,2015-06-06T15:40:50+0100,39.4,318,6.56,392,,,,
211,2015-06-06T15:55:50+0100,39.4,321,6.54,392,,,,
212,2015-06-06T16:10:50+0100,39.7,321,6.54,392,,,,
213,2015-06-06T16:25:50+0100,39.7,322,6.54,392,,,,
214,2015-06-06T16:40:50+0100,39.4,326,6.51,392,,,,
215,2015-06-06T16:55:50+0100,39.4,309,6.62,392,,,,
216,2015-06-06T17:10:50+0100,39.7,313,6.59,392,,,,
217,2015-06-06T17:25:50+0100,39.7,314,6.59,392,,,,
218,2015-06-06T17:40:50+0100,39.7,317,6.57,392,,,,
219,2015-06-06T17:55:50+0100,34.9,309,6.62,392,,,,
220,2015-06-06T18:10:50+0100,37.5,321,6.54,392,,,,
221,2015-06-06T18:25:50+0100,38.3,312,6.6,392,,,,
222,2015-06-06T18:40:50+0100,38.6,312,6.6,392,,,,
223,2015-06-06T18:55:50+0100,38.8,298,6.68,392,,,,
224,2015-06-06T19:10:50+0100,39.1,314,6.59,392,,,,
225,2015-06-06T19:25:50+0100,39.1,319,6.56,392,,,,
226,2015-06-06T19:40:50+0100,39.4,315,6.58,392,,,,
227,2015-06-06T19:55:50+0100,39.4,322,6.54,392,,,,
228,2015-06-06T20:10:50+0100,36.5,315,6.58,392,,,,
229,2015-06-06T20:25:50+0100,38.1,310,6.61,392,,,,
230,2015-06-06T20:40:50+0100,38.6,318,6.56,392,,,,
231,2015-06-06T20:55:50+0100,38.8,320,6.55,392,,,,
232,2015-06-06T21:10:50+0100,39.1,319,6.56,392,,,,
233,2015-06-06T21:25:50+0100,39.4,325,6.52,392,,,,
234,2015-06-06T21:40:50+0100,39.4,324,6.53,392,,,,
235,2015-06-06T21:55:50+0100,36.1,332,6.48,392,,,,
236,2015-06-06T22:10:50+0100,38.1,346,6.39,392,,,,
237,2015-06-06T22:25:50+0100,38.6,348,6.38,392,,,,
238,2015-06-06T22:40:50+0100,38.8,325,6.52,392,,,,
239,2015-06-06T22:55:50+0100,39.1,331,6.48,392,,,,
240,2015-06-06T23:10:50+0100,39.1,324,6.53,392,,,,
241,2015-06-06T23:25:50+0100,39.1,321,6.54,392,,,,
242,2015-06-06T23:40:50+0100,39.1,318,6.56,392,,,,
243,2015-06-06T23:55:50+0100,39.1,312,6.6,392,,,,
244,2015-06-07T00:10:50+0100,39.1,311,6.6,392,,,,
245,2015-06-07T00:25:50+0100,39.1,294,6.71,392,,,,
246,2015-06-07T00:40:50+0100,39.1,294,6.71,392,,,,
247,2015-06-07T00:55:50+0100,39.4,311,6.6,392,,,,
248,2015-06-07T01:10:50+0100,39.1,309,6.62,392,,,,
249,2015-06-07T01:25:50+0100,39.1,315,6.58,392,,,,
250,2015-06-07T01:40:50+0100,39.4,315,6.58,392,,,,
251,2015-06-07T01:55:50+0100,39.1,322,6.54,392,,,,
252,2015-06-07T02:10:50+0100,39.4,332,6.48,392,,,,
253,2015-06-07T02:25:50+0100,39.4,343,6.41,392,,,,
254,2015-06-07T02:40:50+0100,39.4,347,6.39,392,,,,
255,2015-06-07T02:55:50+0100,39.4,349,6.38,392,,,,
256,2015-06-07T03:10:50+0100,39.4,342,6.42,392,,,,
257,2015-06-07T03:25:50+0100,39.4,343,6.41,392,,,,
258,2015-06-07T03:40:50+0100,39.4,343,6.41,392,,,,
259,2015-06-07T03:55:50+0100,39.4,342,6.42,392,,,,
260,2015-06-07T04:10:50+0100,39.4,344,6.41,392,,,,
261,2015-06-07T04:25:50+0100,39.4,332,6.48,392,,,,
262,2015-06-07T04:40:50+0100,39.4,321,6.54,392,,,,
263,2015-06-07T04:55:50+0100,39.4,317,6.57,392,,,,
264,2015-06-07T05:10:50+0100,39.4,323,6.53,392,,,,
265,2015-06-07T05:25:50+0100,39.4,301,6.66,392,,,,
266,2015-06-07T05:40:50+0100,39.4,293,6.71,392,,,,
267,2015-06-07T05:55:50+0100,39.4,295,6.7,392,,,,
268,2015-06-07T06:10:50+0100,39.4,297,6.69,392,,,,
269,2015-06-07T06:25:50+0100,39.4,296,6.69,392,,,,
270,2015-06-07T06:40:50+0100,39.4,296,6.69,392,,,,
271,2015-06-07T06:55:50+0100,39.4,304,6.65,392,,,,
272,2015-06-07T07:10:50+0100,39.7,309,6.62,392,,,,
273,2015-06-07T07:25:50+0100,39.7,316,6.57,392,,,,
274,2015-06-07T07:40:50+0100,39.4,324,6.53,392,,,,
275,2015-06-07T07:55:50+0100,39.4,313,6.59,392,,,,
276,2015-06-07T08:10:50+0100,39.4,326,6.51,392,,,,
277,2015-06-07T08:25:50+0100,39.4,324,6.53,392,,,,
278,2015-06-07T08:40:50+0100,39.4,314,6.59,392,,,,
279,2015-06-07T08:55:50+0100,39.4,314,6.59,392,,,,
280,2015-06-07T09:10:50+0100,39.4,317,6.57,392,,,,
281,2015-06-07T09:25:50+0100,39.4,316,6.57,392,,,,
282,2015-06-07T09:40:50+0100,39.4,317,6.57,392,,,,
283,2015-06-07T09:55:50+0100,39.4,317,6.57,392,,,,
284,2015-06-07T10:10:50+0100,39.4,306,6.63,392,,,,
285,2015-06-07T10:25:50+0100,39.4,308,6.62,392,,,,
286,2015-06-07T10:40:50+0100,39.4,301,6.66,392,,,,
287,2015-06-07T10:55:50+0100,39.1,297,6.69,392,,,,
288,2015-06-07T11:10:50+0100,39.4,289,6.74,392,,,,
289,2015-06-07T11:25:50+0100,39.1,294,6.71,392,,,,
290,2015-06-07T11:40:50+0100,39.1,291,6.72,392,,,,
291,2015-06-07T11:55:50+0100,39.1,295,6.7,392,,,,
292,2015-06-07T12:10:50+0100,39.1,281,6.78,392,,,,
293,2015-06-07T12:25:50+0100,39.1,286,6.75,392,,,,
294,2015-06-07T12:40:50+0100,39.4,294,6.71,392,,,,
295,2015-06-07T12:55:50+0100,39.4,318,6.56,392,,,,
296,2015-06-07T13:10:50+0100,39.4,318,6.56,392,,,,
297,2015-06-07T13:25:50+0100,39.4,311,6.6,392,,,,
298,2015-06-07T13:40:50+0100,39.4,314,6.59,392,,,,
299,2015-06-07T13:55:50+0100,39.4,306,6.63,392,,,,
300,2015-06-07T14:10:50+0100,39.4,312,6.6,392,,,,
301,2015-06-07T14:25:50+0100,39.4,304,6.65,392,,,,
302,2015-06-07T14:40:50+0100,39.4,286,6.75,392,,,,
303,2015-06-07T14:55:50+0100,39.4,287,6.75,392,,,,
304,2015-06-07T15:10:50+0100,39.4,297,6.69,392,,,,
305,2015-06-07T15:25:50+0100,39.4,301,6.66,392,,,,
306,2015-06-07T15:40:50+0100,39.1,300,6.67,392,,,,
307,2015-06-07T15:55:50+0100,39.1,285,6.76,392,,,,
308,2015-06-07T16:10:50+0100,34.7,314,6.59,392,,,,
309,2015-06-07T16:25:50+0100,37.3,333,6.47,392,,,,
310,2015-06-07T16:40:50+0100,38.1,331,6.48,392,,,,
311,2015-06-07T16:55:50+0100,38.3,322,6.54,392,,,,
312,2015-06-07T17:10:50+0100,38.6,323,6.53,392,,,,
313,2015-06-07T17:25:50+0100,35.1,326,6.51,392,,,,
314,2015-06-07T17:40:50+0100,37.3,330,6.49,392,,,,
315,2015-06-07T17:55:50+0100,37.8,324,6.53,392,,,,
316,2015-06-07T18:10:50+0100,38.1,322,6.54,392,,,,
317,2015-06-07T18:25:50+0100,38.3,324,6.53,392,,,,
318,2015-06-07T18:40:50+0100,38.6,329,6.5,392,,,,
319,2015-06-07T18:55:50+0100,38.8,329,6.5,392,,,,
320,2015-06-07T19:10:50+0100,38.8,317,6.57,392,,,,
321,2015-06-07T19:25:50+0100,38.8,306,6.63,392,,,,
322,2015-06-07T19:40:50+0100,38.8,306,6.63,392,,,,
323,2015-06-07T19:55:50+0100,38.8,312,6.6,392,,,,
324,2015-06-07T20:10:50+0100,38.8,303,6.65,392,,,,
325,2015-06-07T20:25:50+0100,39.1,318,6.56,392,,,,
326,2015-06-07T20:40:50+0100,39.1,319,6.56,392,,,,
327,2015-06-07T20:55:50+0100,39.4,320,6.55,392,,,,
328,2015-06-07T21:10:50+0100,39.4,319,6.56,392,,,,
329,2015-06-07T21:25:50+0100,39.4,317,6.57,392,,,,
330,2015-06-07T21:40:50+0100,39.4,326,6.51,392,,,,
331,2015-06-07T21:55:50+0100,37.3,327,6.51,392,,,,
332,2015-06-07T22:10:50+0100,38.3,320,6.55,392,,,,
333,2015-06-07T22:25:50+0100,38.6,319,6.56,392,,,,
334,2015-06-07T22:40:50+0100,38.8,321,6.54,392,,,,
335,2015-06-07T22:55:50+0100,38.8,327,6.51,392,,,,
336,2015-06-07T23:10:50+0100,39.1,327,6.51,392,,,,
337,2015-06-07T23:25:50+0100,39.1,331,6.48,392,,,,
338,2015-06-07T23:40:50+0100,39.1,330,6.49,392,,,,
339,2015-06-07T23:55:50+0100,39.4,324,6.53,392,,,,
340,2015-06-08T00:10:50+0100,39.1,327,6.51,392,,,,
341,2015-06-08T00:25:50+0100,39.1,323,6.53,392,,,,
342,2015-06-08T00:40:50+0100,39.1,313,6.59,392,,,,
343,2015-06-08T00:55:50+0100,39.1,331,6.48,392,,,,
344,2015-06-08T01:10:50+0100,39.1,337,6.45,392,,,,
345,2015-06-08T01:25:50+0100,39.1,332,6.48,392,,,,
346,2015-06-08T01:40:50+0100,39.1,331,6.48,392,,,,
347,2015-06-08T01:55:50+0100,39.1,327,6.51,392,,,,
348,2015-06-08T02:10:50+0100,39.1,319,6.56,392,,,,
349,2015-06-08T02:25:50+0100,39.1,313,6.59,392,,,,
350,2015-06-08T02:40:50+0100,39.4,320,6.55,392,,,,
351,2015-06-08T02:55:50+0100,39.1,325,6.52,392,,,,
352,2015-06-08T03:10:50+0100,39.1,316,6.57,392,,,,
353,2015-06-08T03:25:50+0100,39.4,320,6.55,392,,,,
354,2015-06-08T03:40:50+0100,39.1,334,6.47,392,,,,
355,2015-06-08T03:55:50+0100,39.1,335,6.46,392,,,,
356,2015-06-08T04:10:50+0100,39.1,338,6.44,392,,,,
357,2015-06-08T04:25:50+0100,39.1,338,6.44,392,,,,
358,2015-06-08T04:40:50+0100,39.1,332,6.48,392,,,,
359,2015-06-08T04:55:50+0100,39.1,315,6.58,392,,,,
360,2015-06-08T05:10:50+0100,39.1,312,6.6,392,,,,
361,2015-06-08T05:25:50+0100,39.4,302,6.66,392,,,,
362,2015-06-08T05:40:50+0100,39.1,307,6.63,392,,,,
363,2015-06-08T05:55:50+0100,39.4,312,6.6,392,,,,
364,2015-06-08T06:10:50+0100,39.4,314,6.59,392,,,,
365,2015-06-08T06:25:50+0100,39.4,305,6.64,392,,,,
366,2015-06-08T06:40:50+0100,39.4,310,6.61,392,,,,
367,2015-06-08T06:55:50+0100,39.4,305,6.64,392,,,,
368,2015-06-08T07:10:50+0100,39.4,321,6.54,392,,,,
369,2015-06-08T07:25:50+0100,39.1,311,6.6,392,,,,
370,2015-06-08T07:40:50+0100,39.1,306,6.63,392,,,,
371,2015-06-08T07:55:50+0100,39.1,312,6.6,392,,,,
372,2015-06-08T08:10:50+0100,39.1,321,6.54,392,,,,
373,2015-06-08T08:25:50+0100,39.4,320,6.55,392,,,,
374,2015-06-08T08:40:50+0100,39.1,324,6.53,392,,,,
375,2015-06-08T08:55:50+0100,39.1,326,6.51,392,,,,
376,2015-06-08T09:10:50+0100,39.1,324,6.53,392,,,,
377,2015-06-08T09:25:50+0100,39.1,310,6.61,392,,,,
378,2015-06-08T09:40:50+0100,39.1,316,6.57,392,,,,
379,2015-06-08T09:55:50+0100,39.1,310,6.61,392,,,,
380,2015-06-08T10:10:50+0100,39.1,308,6.62,392,,,,
381,2015-06-08T10:25:50+0100,39.1,320,6.55,392,,,,
382,2015-06-08T10:40:50+0100,39.1,319,6.56,392,,,,
383,2015-06-08T10:55:50+0100,39.1,305,6.64,392,,,,
384,2015-06-08T11:10:50+0100,39.1,309,6.62,392,,,,
385,2015-06-08T11:25:50+0100,39.1,311,6.6,392,,,,
386,2015-06-08T11:40:50+0100,39.1,308,6.62,392,,,,
387,2015-06-08T11:55:50+0100,39.1,305,6.64,392,,,,
388,2015-06-08T12:10:50+0100,39.1,317,6.57,392,,,,
389,2015-06-08T12:25:50+0100,39.1,309,6.62,392,,,,
390,2015-06-08T12:40:50+0100,39.1,309,6.62,392,,,,
391,2015-06-08T12:55:50+0100,39.4,311,6.6,393,Fri Jan  2 02:22:22 1970 BST (+0100),-85,www.wellcow-data.co.uk/api/v1/sessions/393,Bolus responded=1:All data downloaded=0:Missing rows detected=0
392,2015-06-08T13:10:50+0100,36.8,313,6.59,393,,,,
393,2015-06-08T13:25:50+0100,37.8,305,6.64,393,,,,
394,2015-06-08T13:40:50+0100,38.3,296,6.69,393,,,,
395,2015-06-08T13:55:50+0100,38.6,289,6.74,393,,,,
396,2015-06-08T14:10:50+0100,38.6,312,6.6,393,,,,
397,2015-06-08T14:25:50+0100,38.6,310,6.61,393,,,,
398,2015-06-08T14:40:50+0100,38.6,301,6.66,393,,,,
399,2015-06-08T14:55:50+0100,38.8,305,6.64,393,,,,
400,2015-06-08T15:10:50+0100,38.8,314,6.59,393,,,,
401,2015-06-08T15:25:50+0100,38.8,309,6.62,393,,,,
402,2015-06-08T15:40:50+0100,38.8,296,6.69,393,,,,
